apartado,tipo,bien,bien_limpio,cluster,item,cluster_6947,cluster_2275,cluster_1015,cluster_684,cluster_405,cluster_236,cluster_137,cluster_85,cluster_50,cluster_29,cluster_21,cluster_16,cluster_15,cluster_12,cluster_8,cluster_7,cluster_5,cluster_4,cluster_3,cluster_2,cluster_1
Mobiliario,Mobiliario,"Credenza de 2 puertas con un entrepaño móvil, medidas 1.20 * .50 mts.",credenza puertas entrepaño móvil medidas mt,0,credenza,2797,150,93,49,100,202,72,72,41,20,20,2,2,2,0,1,1,0,0,0,0
Equipo,Equipo,CAPNOGRAFO CON OXIMETRO PORTATIL PARA MEDICION Y REGISTRO CONTINUO DE BIOXIDO DE CARBONO (CO2 ESPIRA,capnografo oximetro portatil medicion registro continuo bioxido carbono co espira,0,capnografo,3014,1858,715,15,3,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,ACCES POINT ENTERASYS/EXTREME NETWORKS MODELO WSAP3715iINCLUYE INYECTOR POE MODELO PD-3501G-ENT.NU,acces point enterasysextreme network modelo wsapiincluye inyector poe modelo pdgentnu,0,acces,282,2264,535,535,267,95,8,35,17,17,17,1,0,1,1,0,0,0,0,0,0
Equipo,Equipo,ACCES POINT ENTERASYS/EXTREME NETWORKS MODELO WSAP3715i INCLUYE POE MODELO PD-3501G-ENT NUMERO DE S,acces point enterasysextreme network modelo wsapi incluye poe modelo pdgent numero s,0,acces,282,2264,535,535,267,95,8,35,17,17,17,1,0,1,1,0,0,0,0,0,0
Equipo,Equipo,MYCROSOFT. WINDOWS SERVER STANDARD 2012 R2 DOCTO SERIE S/N. ALTA JULIO 2015. N.D. 06/2015,mycrosoft window server standard r docto serie sn alta julio nd,0,mycrosoft,1160,1048,12,218,43,176,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"SILLA DE VISITANTE TAPIZADA EN REGENERADO SOBRE BASE DE POLIURETANO SOLA PZA CODERAS TAPIZADAS, ASIE",silla visitante tapizada regenerado base poliuretano sola pza coderas tapizadas asie,0,silla,2567,439,459,89,25,106,9,1,8,8,8,8,8,8,0,1,1,0,0,0,0
Mobiliario,Mobiliario,ESCRITORIO DE 1.20 X 0.60 X 0.75 METROS CON UN CAJÓN LAPICERO,escritorio x x metro cajón lapicero,0,escritorio,1347,346,694,9,3,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Mobiliario,Mobiliario,"GABINETE MARCA TRIPPLITE MODELO SMARTRACK DE 10U, SERIE 2443BTGAC886100024",gabinete marca tripplite modelo smartrack u serie btgac,0,gabinete,5019,1401,256,514,130,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,SERVIDOR STAND ALONE GEN8 4-LFF CON LAS SIGUIENTES CARACTERISTICAS: 2 PROCESADORES INTEL XEON E5-260,servidor stand alone gen lff siguientes caracteristicas procesadores intel xeon,0,servidor,1701,23,219,30,125,52,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Mobiliario,Mobiliario,"SOFA GAIN 1 PLAZA TAPIZADO EN VINIPIEL COLOR ROJO. MARCA: OFIPLAN, MODELO:ADSSOFGAIN1P10",sofa gain plaza tapizado vinipiel color rojo marca ofiplan modeloadssofgainp,4,sofa,879,341,683,683,99,37,16,4,0,0,2,0,1,0,1,0,0,0,0,0,0
